watch.sol,0.4.25,watch
WCToken.sol,0.4.25,WCToken
WEED.sol,0.5.4,WEED
WeedConnect.sol,0.5.0,WeedConnect
WeeklyGame.sol,0.5.6,WeeklyGame
WethPriceOracle.sol,0.5.7,WethPriceOracle
WhiteBitCoin.sol,0.5.0,WhiteBitCoin
Whitelist(1).sol,0.5.0,Whitelist
WhiteList.sol,0.5.7,WhiteList
WhitelistCrowdsale.sol,0.5.6,AirSaveTravelTokens
WhitelistCrowdsale.sol,0.5.6,WhitelistCrowdsale
WhitePaperInterestRateModel.sol,0.5.8,WhitePaperInterestRateModel
WhoWillDieFirstInGoTs8.sol,0.5.7,WhoWillDieFirstInGoTs8
WinEtherPot11.sol,0.4.23,WinEtherPot11
WINNER.sol,0.4.18,WINNER
WipeProxy.sol,0.5.0,WipeProxy
WiraToken.sol,0.5.0,WiraToken
WiraTokenSale.sol,0.5.0,WiraTokenSale
WiseBlockchain.sol,0.4.25,WiseBlockchain
WishListToken.sol,0.5.5,DreamCarToken
WishListToken.sol,0.5.5,WishListToken
WMCSToken.sol,0.4.23,WMCSToken
WNZCoin.sol,0.5.0,WNZCoin
WolfexToken.sol,0.5.0,Destructible
WolfexToken.sol,0.5.0,WolfexToken
Wolftech.sol,0.4.11,SafeMath
Wolftech.sol,0.4.11,Wolftech
WoodMaterial.sol,0.4.25,WoodMaterial
WorkerpoolRegistry.sol,0.5.8,App
WorkerpoolRegistry.sol,0.5.8,AppRegistry
WorkerpoolRegistry.sol,0.5.8,Dataset
WorkerpoolRegistry.sol,0.5.8,DatasetRegistry
WorkerpoolRegistry.sol,0.5.8,Workerpool
WorkerpoolRegistry.sol,0.5.8,WorkerpoolRegistry
WorkerpoolRegistry.sol,0.5.8,IexecClerk
WorkerpoolRegistry.sol,0.5.8,IexecHub
WOSToken.sol,0.4.18,WOSToken
WotChain(1).sol,0.4.22,WotChain
WOTChain.sol,0.4.24,WOTChain
WUToken.sol,0.4.24,WUToken
WWCToken.sol,0.4.25,WWCToken
WWGProxyOMG.sol,0.4.25,WWGProxyOMG
X8B.sol,0.4.24,X8B
XaibeCoin.sol,0.4.22,XaibeCoin
XallCashCoin.sol,0.4.8,XallCashCoin
xAR.sol,0.5.0,xAR
xbase.sol,0.5.7,xbase
XBV.sol,0.4.25,XBV
XcelLab.sol,0.5.10,XcelLab
XcertUpdateProxy.sol,0.5.6,XcertUpdateProxy
Xcoin.sol,0.4.24,Whitelist
Xcoin.sol,0.4.24,Xcoin
xCTK.sol,0.5.0,xCTK
XDEX.sol,0.4.22,XDEX
xDFINITY.sol,0.5.0,xDFINITY
xDOT.sol,0.5.0,xDOT
XERA.sol,0.4.23,XERA
XetherGames.sol,0.5.6,XetherGames
XetherToken.sol,0.5.6,XetherToken
xEuro.sol,0.5.7,xEuro
xFIL.sol,0.5.0,xFIL
xGRAM.sol,0.5.0,xGRAM
XGToken.sol,0.4.21,XGToken
xHBAR.sol,0.5.0,xHBAR
XHHM.sol,0.4.21,XHHM
XIO.sol,0.4.25,XIO
XIOExchange.sol,0.4.25,XIOExchange
XLToken.sol,0.4.22,XLToken
XMD.sol,0.5.7,XMD
XmedLoyaltyToken.sol,0.5.0,XmedLoyaltyToken
XMT.sol,0.5.4,XMT
xOASIS.sol,0.5.0,xOASIS
xOCEAN.sol,0.5.0,xOCEAN
xORIGO.sol,0.5.0,xORIGO
xPERL.sol,0.5.0,xPERL
XPETOKEN.sol,0.4.18,XPETOKEN
XPN.sol,0.5.0,XPN
XRUN.sol,0.4.24,XRUN
XSCCToken.sol,0.5.2,XSCCToken
XSN.sol,0.4.24,XSN
XVQrRlEp.sol,0.4.25,XVQrRlEp
X_BANK.sol,0.4.25,X_BANK
X_BANK.sol,0.4.25,Log
X_wallet.sol,0.4.25,X_wallet
YaluCoin.sol,0.4.24,YaluCoin
YAONetwork.sol,0.4.24,YAONetwork
YearlyGame.sol,0.5.6,YearlyGame
YECToken.sol,0.4.25,YECToken
YeonMiToken.sol,0.5.0,YeonMiToken
YFT.sol,0.4.22,YFT
YGT.sol,0.4.24,YGT
YJSGold.sol,0.4.22,YJSGold
YKCToken.sol,0.5.1,YKCToken
YlcToken.sol,0.4.12,YlcToken
YMCCoin.sol,0.4.22,YMCCoin
YOH.sol,0.4.10,YOH
YpDtTGPzyr.sol,0.4.25,YpDtTGPzyr
YTAToken.sol,0.4.10,YTAToken
YUNToken.sol,0.4.22,YUNToken
ZabToken.sol,0.4.23,ZabToken
ZARVICBROTHERSLLC.sol,0.4.23,ZARVICBROTHERSLLC
zBetForFun.sol,0.5.1,zBetForFun
ZBToken.sol,0.4.22,ZBToken
zDappRunner.sol,0.5.1,zDappRunner
ZermattCoin.sol,0.5.2,ZermattCoin
ZeroPriceIndex.sol,0.4.25,ZeroPriceIndex
ZetTokenMint.sol,0.4.25,ZetTokenMint
ZikToken.sol,0.5.2,TokenTimelock
ZikToken.sol,0.5.2,AllowanceCrowdsale
ZikToken.sol,0.5.2,ZikToken
ZmineVoteBurn.sol,0.5.8,ZmineVoteBurn
ZmineVoteKeep.sol,0.5.8,ZmineVoteKeep
ZOLOTO.sol,0.4.25,ZOLOTO
ZTC.sol,0.5.0,ZTC
ZZToken.sol,0.5.7,ZZToken
_0xbccDividendCards.sol,0.4.25,_0xbccDividendCards
_0xBitconnect.sol,0.4.25,_0xBitconnect
_0xbtcBankroll.sol,0.4.25,_0xbtcBankroll
_0xLitecoin.sol,0.5.7,_0xLitecoin
_GreenStamps.sol,0.4.18,_GreenStamps
